"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,initial_grant_information,,text,"Record Id",,,,,,,,,,,,,
init_grant_title,initial_grant_information,,text,"Grant Title",,,,,,,,,,,,,
init_grant_number,initial_grant_information,,text,"Grant Number",,,,,,,,,,,,,
init_pi_fname,initial_grant_information,,text,"PI First Name",,,,,,,,,,,,,
init_pi_lname,initial_grant_information,,text,"PI Last Name",,,,,,,,,,,,,
init_pi_netid,initial_grant_information,,text,"PI NetId",,,,,,,,,,,,,
init_pi_email,initial_grant_information,,text,"PI Email Address",,,email,,,,,,,,,,
init_email_pi_yn,initial_grant_information,,yesno,"Send request to PI?",,"If this is ""Yes"" and the form is saved with a status of ""Complete"" then an email will be sent to the email address above",,,,,,,,,,,
survey_pi_netid,grant_submission_survey,,text,NetID,,,,,,,,,,,,," @READONLY-SURVEY"
survey_pi_fname,grant_submission_survey,"Principal Investigator Information",text,"First Name",,,,,,,,y,,,,," @DEFAULT=""[init_pi_fname]"""
survey_pi_lname,grant_submission_survey,,text,"Last Name",,,,,,,,y,,,,," @DEFAULT=""[init_pi_lname]"""
survey_pi_email,grant_submission_survey,,text,"Email Address",,,email,,,,,y,,,,," @DEFAULT=""[init_pi_email]"""
survey_grant_title,grant_submission_survey,"Grant Information",text,"Grant Title",,,,,,,,,,,,," @DEFAULT=""[init_grant_title]"""
survey_grant_number,grant_submission_survey,,text,"Grant Number",,,,,,,,,,,,," @DEFAULT=""[init_grant_number]"""
allow_grant_yn,grant_submission_survey,,yesno,"Would you be willing to allow us to acquire your grant materials from the Office of Sponsored Projects and add them to the Yale University Funded Grant Database?",,,,,,,,y,,,,,
survey_nih_submission_number,grant_submission_survey,,dropdown,"Was this funded as an original A0 submission or A1 resubmission?","1, Original A0 Submission | 2, Resubmission A1",,,,,,"[allow_grant_yn] <> '0'",,,,,,
survey_nih_score,grant_submission_survey,,text,"NIH Score",,,,,,,"[allow_grant_yn] <> '0'",,,,,,
survey_grant_visibility_embargo,grant_submission_survey,,text,"<div class=""rich-text-field-label""><p>Do you want to set an embargo date for this grant?</p> <p><span style=""font-weight: normal;"">Your grant would not be visible in the Funded Grant Database until </span>after<span style=""font-weight: normal;""> the date you specify here</span></p></div>",,,date_mdy,,,,"[allow_grant_yn] <> '0'",,,,,,
willing_to_provide_summary_yn,grant_submission_survey,,yesno,"Are you willing to provide your summary statement from your grant application?",,,,,,,"[allow_grant_yn] <> '0'",y,,,,,
summary_statement,grant_submission_survey,,file,"Please upload your summary statement",,,,,,,"[allow_grant_yn] <> '0' and [willing_to_provide_summary_yn] = 1",,,,,,
allow_grant_a0_yn,grant_submission_survey,"The questions below apply to your original A0 submission",yesno,"Would you be willing to allow us to acquire your A0 grant materials from the Office of Sponsored Projects and add them to the Yale University Funded Grant Database?",,,,,,,"[allow_grant_yn] <> '0' and [survey_nih_submission_number] = 2",y,,,,,
survey_nih_score_a0,grant_submission_survey,,text,"What was the NIH Score for your A0 submission?",,,,,,,"[allow_grant_yn] <> '0' and [survey_nih_submission_number] = 2",,,,,,
willing_to_provide_summary_a0_yn,grant_submission_survey,,yesno,"Are you willing to provide your summary statement from your A0 grant application?",,,,,,,"[allow_grant_yn] <> '0' and [survey_nih_submission_number] = 2",y,,,,,
summary_statement_a0,grant_submission_survey,,file,"Please upload your summary statement from your A0 grant application",,,,,,,"[allow_grant_a0_yn] <> '0' and [willing_to_provide_summary_a0_yn] = 1",,,,,,
comments,grant_submission_survey,Comments,notes,"Questions, comments, or concerns",,,,,,,,,LH,,,,
grants_title,grants,,text,"Grants Title",,,,,,,,,,,,," @DEFAULT=""[survey_grant_title]"""
grants_number,grants,,text,"Grant #",,,,,,,,,,,,," @DEFAULT=""[survey_grant_number]"""
pi_fname,grants,,text,"PI First Name",,,,,,,,,,,,," @DEFAULT=""[survey_pi_fname]"""
pi_lname,grants,,text,"PI Last Name",,,,,,,,,,,,," @DEFAULT=""[survey_pi_lname]"""
pi_netid,grants,,text,"PI Yale NetID",,,,,,,,,,,,," @DEFAULT=""[survey_pi_netid]"""
pi_title,grants,,dropdown,"PI Title","1, Professor | 2, Associate Professor | 3, Assistant Professor | 4, Instructor | 5, Senior Research Scientist | 6, Research Scientist | 7, Associate Research Scientist | 8, Postdoctoral Fellow/ Associate | 9, Clinical Fellow | 10, Resident | 11, Graduate Student | 12, MD Student | 13, MD/ PhD Student | 14, School of Nursing Student | 15, School of Public Health Student | 16, Undergraduate Student | 99, Other",,autocomplete,,,,,,,,,,
pi_title_other,grants,,text,"Specify Other Title",,,,,,,"[pi_title] = 99",,,,,,
pi_department,grants,,dropdown,Department,"1, Anesthesiology | 2, Biological and Biomedical Sciences | 3, Cell Biology | 4, Cellular and Molecular Physiology | 5, Chemistry | 6, Child Study Center | 7, Comparative Medicine | 8, Dermatology | 9, Emergency Medicine | 10, Genetics | 11, Immunobiology | 12, Internal Medicine | 13, Laboratory Medicine | 14, Microbial Pathogenesis | 15, Molecular Biophysics and Biochemistry | 16, Molecular, Cellular and Developmental Biology | 17, Neurology | 18, Neuroscience | 19, Neurosurgery | 20, Obstetrics, Gynecology and Reproductive Sciences | 21, Ophthalmology and Visual Science | 22, Orthopaedics and Rehabilitation | 23, Pathology | 24, Pediatrics | 25, Pharmacology | 26, Psychiatry | 27, Radiology and Biomedical Imaging | 28, School of Engineering and Applied Science | 29, School of Nursing | 30, School of Public Health | 31, Surgery | 32, Therapeutic Radiology | 33, Urology | 34, Yale Cancer Center | 99, Other",,autocomplete,,,,,,,,,,
pi_department_other,grants,,text,"Specify Other Department",,,,,,,"[pi_department] = 99",,,,,,
funding_agency,grants,,dropdown,"Funding Agency","1, Agency for Healthcare Research and Quality's (AHRQ) | 2, Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD) | 3, Fogarty International Center (FIC) | 4, National Cancer Institute (NCI) | 5, National Center for Advancing Translational Sciences (NCATS) | 6, National Center for Complementary and Integrative Health (NCCIH) | 7, National Eye Institute (NEI) | 8, National Heart, Lung, and Blood Institute (NHLBI) | 9, National Human Genome Research Institute (NHGRI) | 10, National Institute of Allergy and Infectious Diseases (NIAID) | 11, National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) | 12, National Institute of Biomedical Imaging and Bioengineering (NIBIB) | 13, National Institute of Dental and Craniofacial Research (NIDCR) | 14, National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) | 15, National Institute of Environmental Health Sciences (NIEHS) | 16, National Institute of General Medical Sciences (NIGMS) | 17, National Institute of Mental Health (NIMH) | 18, National Institute of Neurological Disorders and Stroke (NINDS) | 19, National Institute of Nursing Research (NINR) | 20, National Institute on Aging (NIA) | 21, National Institute on Alcohol Abuse and Alcoholism (NIAAA) | 22, National Institute on Deafness and Other Communication Disorders (NIDCD) | 23, National Institute on Drug Abuse (NIDA) | 24, National Institute on Minority Health and Health Disparities (NIMHD) | 25, NIH Office of the Director (OD) | 26, Veteran Affairs",,autocomplete,,,,,,,,,,
